fips,county,state,total_population,median_household_income,poverty_count,edu_pct,hud_pop2020,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
20125,Montgomery,KS,31448,51513.0,5146,0.13584329687102517,32114,633.0,671.0,882.0,1156.0,1249.0
20127,Morris,KS,5385,52866.0,582,0.20185701021355618,5551,656.0,712.0,915.0,1106.0,1289.0
20129,Morton,KS,2688,57943.0,345,0.1212797619047619,2656,633.0,671.0,882.0,1066.0,1244.0
20131,Nemaha,KS,10219,72788.0,863,0.18348174968196496,10109,633.0,717.0,882.0,1229.0,1373.0
20133,Neosho,KS,15826,54894.0,2286,0.14046505750031593,16008,667.0,671.0,882.0,1217.0,1442.0
20135,Ness,KS,2677,64907.0,276,0.14456481135599553,2838,633.0,671.0,882.0,1162.0,1244.0
20137,Norton,KS,5431,52710.0,420,0.15282636715153747,5416,633.0,684.0,882.0,1066.0,1244.0
20139,Osage,KS,15787,66155.0,1726,0.13840501678596315,15855,726.0,731.0,960.0,1231.0,1372.0
20141,Osborne,KS,3493,58750.0,454,0.16661895219009448,3494,633.0,671.0,882.0,1066.0,1244.0
20143,Ottawa,KS,5768,74551.0,589,0.16591539528432733,5776,698.0,741.0,973.0,1176.0,1373.0
20145,Pawnee,KS,6288,54141.0,642,0.1451972010178117,6539,633.0,671.0,882.0,1215.0,1244.0
20147,Phillips,KS,4960,57611.0,799,0.14193548387096774,5297,633.0,671.0,882.0,1079.0,1244.0
20149,Pottawatomie,KS,25482,85241.0,1821,0.24244564790832746,24203,812.0,817.0,1009.0,1347.0,1712.0
20151,Pratt,KS,9175,61685.0,1005,0.1780926430517711,9324,633.0,786.0,882.0,1193.0,1197.0
20153,Rawlins,KS,2544,61827.0,274,0.12735849056603774,2490,633.0,671.0,882.0,1066.0,1497.0
20155,Reno,KS,61881,57390.0,7243,0.14133578966080057,62421,660.0,741.0,974.0,1178.0,1297.0
20157,Republic,KS,4686,54531.0,465,0.18587281263337602,4607,633.0,786.0,882.0,1170.0,1175.0
20159,Rice,KS,9441,58523.0,854,0.15379726723863998,9532,633.0,730.0,882.0,1243.0,1244.0
20161,Riley,KS,72105,56327.0,13920,0.23794466403162054,74059,812.0,817.0,1009.0,1347.0,1712.0
20163,Rooks,KS,4925,60821.0,218,0.16385786802030458,4985,633.0,671.0,882.0,1066.0,1244.0
20165,Rush,KS,2939,53523.0,368,0.14120449132357946,2953,633.0,786.0,882.0,1175.0,1259.0
20167,Russell,KS,6702,49929.0,1143,0.14383766039988063,6896,633.0,786.0,882.0,1066.0,1244.0
20169,Saline,KS,54160,59887.0,6293,0.19146971935007384,54384,730.0,794.0,1025.0,1239.0,1424.0
20171,Scott,KS,5128,53365.0,379,0.13202028081123246,4893,633.0,671.0,882.0,1243.0,1497.0
20173,Sedgwick,KS,522700,65372.0,70351,0.2069504495886742,515416,689.0,774.0,1017.0,1339.0,1639.0
20175,Seward,KS,21942,57131.0,2918,0.06562756357670221,21902,750.0,796.0,1046.0,1265.0,1393.0
20177,Shawnee,KS,178625,63463.0,22395,0.21579846046186144,177293,726.0,731.0,960.0,1231.0,1372.0
20179,Sheridan,KS,2450,66719.0,186,0.16612244897959183,2515,633.0,695.0,882.0,1243.0,1244.0
20181,Sherman,KS,5940,61404.0,590,0.1632996632996633,5904,687.0,728.0,957.0,1157.0,1350.0
20183,Smith,KS,3561,50943.0,256,0.17130019657399606,3594,633.0,778.0,882.0,1188.0,1244.0
20185,Stafford,KS,4054,60000.0,436,0.17760236803157375,4125,633.0,671.0,882.0,1066.0,1244.0
20187,Stanton,KS,2060,66000.0,268,0.11893203883495146,2030,633.0,671.0,882.0,1128.0,1244.0
20189,Stevens,KS,5275,67950.0,816,0.07734597156398104,5498,647.0,686.0,902.0,1091.0,1213.0
20191,Sumner,KS,22517,59397.0,2553,0.16201092507882933,22928,645.0,725.0,952.0,1151.0,1268.0
20193,Thomas,KS,7907,72417.0,489,0.16567598330593145,7748,633.0,671.0,882.0,1066.0,1244.0
20195,Trego,KS,2798,77500.0,198,0.19120800571837027,2802,633.0,729.0,882.0,1066.0,1175.0
20197,Wabaunsee,KS,6922,70000.0,402,0.1737937012424155,6877,726.0,731.0,960.0,1231.0,1372.0
20199,Wallace,KS,1489,57708.0,228,0.17797179314976494,1583,633.0,671.0,882.0,1101.0,1244.0
20201,Washington,KS,5529,59432.0,538,0.15717127871224454,5474,661.0,671.0,882.0,1121.0,1244.0
20203,Wichita,KS,2131,69551.0,315,0.15485687470671047,2112,633.0,786.0,882.0,1243.0,1244.0
20205,Wilson,KS,8667,55439.0,1387,0.13499480789200416,8600,633.0,671.0,882.0,1243.0,1424.0
20207,Woodson,KS,3134,50670.0,408,0.15698787492022973,3117,633.0,720.0,882.0,1160.0,1448.0
20209,Wyandotte,KS,167989,57771.0,27937,0.12719880468364,165447,985.0,1098.0,1258.0,1645.0,1931.0
21001,Adair,KY,18887,49690.0,3490,0.12537724360671362,19366,616.0,663.0,850.0,1198.0,1335.0
21003,Allen,KY,20773,57159.0,3381,0.12660665286670197,21065,716.0,726.0,954.0,1153.0,1385.0
21005,Anderson,KY,23839,69885.0,3160,0.17467175636561935,22580,695.0,854.0,959.0,1299.0,1304.0
21007,Ballard,KY,7742,57111.0,1085,0.1245156290364247,7914,636.0,668.0,878.0,1072.0,1378.0
21009,Barren,KY,44511,48141.0,9187,0.12095886410100874,44026,631.0,662.0,870.0,1117.0,1167.0
21011,Bath,KY,12739,51471.0,2916,0.09545490226862391,12421,616.0,720.0,850.0,1144.0,1416.0
21013,Bell,KY,24248,33658.0,6153,0.08169745958429561,26426,707.0,757.0,850.0,1198.0,1359.0
21015,Boone,KY,136150,91697.0,7725,0.22892398090341534,132368,810.0,919.0,1195.0,1588.0,1766.0
21017,Bourbon,KY,20228,54580.0,3015,0.15982796124184298,19998,802.0,983.0,1177.0,1599.0,1807.0
21019,Boyd,KY,48242,58327.0,8071,0.1481903735334356,47361,793.0,815.0,938.0,1236.0,1431.0
21021,Boyle,KY,30613,56568.0,4154,0.18034821807728743,30090,702.0,706.0,928.0,1225.0,1461.0
21023,Bracken,KY,8420,59911.0,1410,0.12125890736342043,8308,810.0,919.0,1195.0,1588.0,1766.0
21025,Breathitt,KY,13580,38209.0,3801,0.12253313696612665,12802,616.0,743.0,850.0,1141.0,1156.0
21027,Breckinridge,KY,20528,51756.0,4734,0.09893803585346843,20283,616.0,729.0,850.0,1128.0,1132.0
21029,Bullitt,KY,82482,73900.0,8667,0.1243544045973667,80921,976.0,1077.0,1301.0,1701.0,1955.0
21031,Butler,KY,12365,47589.0,2367,0.07917509098261222,12756,638.0,647.0,850.0,1198.0,1442.0
21033,Caldwell,KY,12635,52488.0,2024,0.11325682627621686,12679,616.0,746.0,850.0,1053.0,1156.0
21035,Calloway,KY,37345,48276.0,6405,0.19641183558709333,38991,778.0,810.0,1064.0,1287.0,1417.0
21037,Campbell,KY,93122,71979.0,10536,0.2742853461051094,93608,810.0,919.0,1195.0,1588.0,1766.0
21039,Carlisle,KY,4782,53065.0,949,0.09242994562944375,4738,616.0,647.0,850.0,1028.0,1156.0
21041,Carroll,KY,10842,50625.0,2140,0.03781590112525364,10691,616.0,757.0,850.0,1198.0,1329.0
21043,Carter,KY,26671,47004.0,6195,0.09958381762963518,26976,643.0,647.0,850.0,1128.0,1132.0
21045,Casey,KY,15942,42190.0,4059,0.08468197214904027,15968,616.0,757.0,850.0,1098.0,1442.0
21047,Christian,KY,72766,48920.0,11227,0.10847098919825193,71470,887.0,970.0,1246.0,1750.0,2114.0
21049,Clark,KY,36897,61878.0,5451,0.1400384855137274,36152,802.0,983.0,1177.0,1599.0,1807.0
21051,Clay,KY,20322,37888.0,5891,0.10318866253321524,20110,671.0,675.0,850.0,1198.0,1442.0
21053,Clinton,KY,9295,41180.0,1850,0.0993006993006993,10175,616.0,669.0,850.0,1028.0,1156.0
21055,Crittenden,KY,8979,45810.0,1560,0.0880944425882615,8940,616.0,647.0,850.0,1028.0,1156.0
21057,Cumberland,KY,5974,40515.0,1658,0.12437227987947774,6660,576.0,647.0,850.0,1095.0,1156.0
21059,Daviess,KY,102916,64021.0,13990,0.1709452368922228,101001,825.0,830.0,1091.0,1440.0,1453.0
21061,Edmonson,KY,12179,53029.0,2035,0.08448969537728877,12195,831.0,944.0,1104.0,1354.0,1640.0
21063,Elliott,KY,7378,39469.0,1492,0.0765790187042559,7461,680.0,731.0,938.0,1134.0,1275.0
21065,Estill,KY,14138,39980.0,3353,0.07943131984722025,14187,616.0,647.0,850.0,1030.0,1159.0
21067,Fayette,KY,321276,66087.0,46179,0.30360188747369865,322200,802.0,983.0,1177.0,1599.0,1807.0
21069,Fleming,KY,15111,46885.0,3167,0.10661107802263252,14519,616.0,729.0,850.0,1100.0,1229.0
21071,Floyd,KY,35780,38723.0,10254,0.09186696478479597,35931,636.0,668.0,878.0,1062.0,1169.0
21073,Franklin,KY,51475,62929.0,6596,0.221369596891695,50744,731.0,831.0,1042.0,1373.0,1687.0
21075,Fulton,KY,6480,35449.0,1633,0.09891975308641976,6064,616.0,672.0,850.0,1198.0,1442.0
21077,Gallatin,KY,8720,58641.0,1445,0.08795871559633027,8760,810.0,919.0,1195.0,1588.0,1766.0
21079,Garrard,KY,17175,58263.0,2657,0.14229985443959242,17554,640.0,787.0,883.0,1084.0,1303.0
21081,Grant,KY,25085,65461.0,3157,0.10089695036874627,25107,661.0,742.0,975.0,1179.0,1552.0
21083,Graves,KY,36701,52526.0,7141,0.1264543200457753,37125,616.0,647.0,850.0,1198.0,1442.0
21085,Grayson,KY,26465,47024.0,5462,0.09027016814660872,26313,677.0,682.0,850.0,1128.0,1132.0
21087,Green,KY,11198,38595.0,2356,0.09751741382389713,11000,616.0,757.0,850.0,1151.0,1156.0
21089,Greenup,KY,35853,58562.0,5323,0.1257635344322651,35359,793.0,815.0,938.0,1236.0,1431.0
21091,Hancock,KY,9058,68102.0,1345,0.11856922057849414,8748,825.0,830.0,1091.0,1440.0,1453.0
21093,Hardin,KY,111005,64136.0,12401,0.15920003603441285,109627,785.0,790.0,1003.0,1385.0,1702.0
21095,Harlan,KY,26589,35128.0,7799,0.07352664635751627,26307,616.0,673.0,850.0,1130.0,1185.0
21097,Harrison,KY,18803,58840.0,2925,0.12519278838483222,18763,616.0,724.0,850.0,1128.0,1132.0
21099,Hart,KY,19345,45561.0,4259,0.07066425432928405,18833,616.0,647.0,850.0,1093.0,1132.0
21101,Henderson,KY,44770,56912.0,7431,0.13189635916908643,45550,766.0,850.0,1070.0,1360.0,1558.0
21103,Henry,KY,15731,58294.0,2534,0.10120144936749094,15999,976.0,1077.0,1301.0,1701.0,1955.0
21105,Hickman,KY,4491,68589.0,726,0.1621019817412603,4461,616.0,647.0,850.0,1151.0,1156.0
21107,Hopkins,KY,45223,54466.0,8424,0.10742321385135882,45044,628.0,695.0,913.0,1176.0,1319.0
21109,Jackson,KY,13002,38516.0,2905,0.077834179357022,13368,616.0,647.0,850.0,1151.0,1156.0
21111,Jefferson,KY,779232,66296.0,107897,0.25054284218307254,768419,976.0,1077.0,1301.0,1701.0,1955.0
21113,Jessamine,KY,53381,69905.0,6254,0.20245031003540587,53476,802.0,983.0,1177.0,1599.0,1807.0
21115,Johnson,KY,22631,44231.0,4728,0.10255843754142548,22427,616.0,647.0,850.0,1120.0,1156.0
21117,Kenton,KY,169066,76016.0,19922,0.24918079329965812,166552,810.0,919.0,1195.0,1588.0,1766.0
21119,Knott,KY,14282,38336.0,3798,0.11370956448676656,15041,659.0,663.0,850.0,1105.0,1174.0
21121,Knox,KY,30207,34254.0,10030,0.11288774125202768,31288,616.0,664.0,850.0,1067.0,1442.0
21123,Larue,KY,14902,57867.0,2760,0.10656287746611193,14269,785.0,790.0,1003.0,1385.0,1702.0
21125,Laurel,KY,62442,53693.0,12608,0.11450626181096057,60631,595.0,665.0,874.0,1123.0,1207.0
21127,Lawrence,KY,16228,42488.0,4236,0.07456248459452798,15604,616.0,647.0,850.0,1154.0,1258.0
21129,Lee,KY,7338,31682.0,2082,0.05342055055873535,7088,616.0,647.0,850.0,1151.0,1156.0
21131,Leslie,KY,10468,37019.0,3381,0.07976690867405425,10081,616.0,757.0,850.0,1151.0,1156.0
21133,Letcher,KY,21490,38466.0,6082,0.09367147510469986,21936,616.0,733.0,850.0,1198.0,1318.0
21135,Lewis,KY,13063,36662.0,3428,0.07104034295337977,13345,616.0,705.0,850.0,1151.0,1156.0
21137,Lincoln,KY,24320,49487.0,4150,0.10575657894736842,24493,616.0,686.0,850.0,1028.0,1132.0
21139,Livingston,KY,8980,56125.0,1503,0.09621380846325167,9172,616.0,663.0,850.0,1042.0,1156.0
21141,Logan,KY,27498,58869.0,4268,0.11702669285038912,27049,616.0,660.0,850.0,1184.0,1442.0
21143,Lyon,KY,8721,64081.0,724,0.11466574934067195,8226,627.0,658.0,865.0,1086.0,1468.0
21145,McCracken,KY,67573,58490.0,10045,0.1980524765808829,65485,672.0,755.0,992.0,1214.0,1569.0
21147,McCreary,KY,16892,35000.0,5147,0.047596495382429556,17333,616.0,757.0,850.0,1073.0,1156.0
21149,McLean,KY,9173,64020.0,721,0.12482284966750246,9202,825.0,830.0,1091.0,1440.0,1453.0
21151,Madison,KY,92955,59797.0,14057,0.20759507288472917,92090,750.0,794.0,914.0,1288.0,1301.0
21153,Magoffin,KY,11647,31927.0,3503,0.0765862453850777,12346,616.0,757.0,850.0,1126.0,1156.0
21155,Marion,KY,19627,49627.0,4180,0.08737963010139094,19257,656.0,660.0,867.0,1052.0,1155.0
21157,Marshall,KY,31706,64597.0,3744,0.1625559830946824,31225,679.0,780.0,937.0,1133.0,1565.0
21159,Martin,KY,11298,45265.0,2357,0.07904053814834484,11421,616.0,647.0,850.0,1028.0,1156.0
21161,Mason,KY,17068,48460.0,3142,0.15707757206468245,17122,617.0,752.0,911.0,1102.0,1238.0
21163,Meade,KY,29964,68518.0,3925,0.12374849819783741,28379,783.0,788.0,1035.0,1443.0,1756.0
21165,Menifee,KY,6174,43797.0,1643,0.07661159701976028,6463,616.0,663.0,850.0,1133.0,1156.0
21167,Mercer,KY,22662,60728.0,2515,0.1514429441355573,21690,616.0,647.0,850.0,1198.0,1322.0
21169,Metcalfe,KY,10313,46932.0,2447,0.09822554057985067,10062,616.0,655.0,850.0,1028.0,1132.0
21171,Monroe,KY,11331,47252.0,2334,0.11049333686347189,10616,616.0,647.0,850.0,1128.0,1132.0
21173,Montgomery,KY,28188,53436.0,4525,0.12384702710373209,28042,616.0,647.0,850.0,1167.0,1171.0
21175,Morgan,KY,13840,46018.0,2494,0.1311416184971098,13270,616.0,647.0,850.0,1151.0,1156.0
21177,Muhlenberg,KY,30735,50935.0,4840,0.09503823003090939,30815,616.0,647.0,850.0,1068.0,1188.0
21179,Nelson,KY,46779,66212.0,4051,0.15524059941426707,45915,605.0,680.0,893.0,1258.0,1515.0
21181,Nicholas,KY,7613,57539.0,1215,0.04820701431761461,7189,616.0,647.0,850.0,1085.0,1442.0
21183,Ohio,KY,23782,52474.0,3263,0.09898242368177614,24081,616.0,656.0,850.0,1028.0,1208.0
